ac_vo_diff_I_STG1_dB (Tdiff_R=-288.5) X,ac_vo_diff_I_STG1_dB (Tdiff_R=-288.5) Y
10000000,14.78110282557523
11220184.54301963,14.78291264725549
12589254.11794167,14.78433845092125
14125375.44622754,14.78545581802613
15848931.92461113,14.78632403184767
17782794.10038922,14.78698918885129
19952623.14968878,14.78748662141408
22387211.38568338,14.78784276513034
25118864.31509578,14.78807655131109
28183829.31264452,14.78820040847331
31622776.60168377,14.78822091965967
35481338.92335751,14.7881391751935
39810717.05534968,14.78795082280756
44668359.21509626,14.78764583896036
50118723.36272717,14.78720799746436
56234132.51903483,14.78661398497962
63095734.44801924,14.78583225748071
70794578.43841368,14.78482128652314
79432823.47242802,14.78352739994645
89125093.8133744,14.78188195898652
99999999.99999982,14.77979776356968
112201845.4301961,14.77716447962959
125892541.1794165,14.77384296255586
141253754.4622751,14.76965803774806
158489319.246111,14.76438954107362
177827941.0038919,14.75776118389726
199526231.4968875,14.74942678503978
223872113.8568334,14.73895320488655
251188643.1509574,14.7257996159013
281838293.1264447,14.70929426280852
316227766.0168371,14.68858998049649
354813389.2335745,14.66266212624005
398107170.5534962,14.6302264536553
446683592.1509619,14.5897147008337
501187233.6272709,14.53921566392117
562341325.1903474,14.47641946680674
630957344.4801913,14.39856240117964
707945784.3841357,14.30237455729652
794328234.7242789,14.18413843179368
891250938.1337426,14.03937560784042
999999999.9999965,13.86337496603151
1122018454.30196,13.65090616141323
1258925411.794163,13.39653294781753
1412537544.622749,13.09483120939591
1584893192.461107,12.7406740840087
1778279410.038916,12.3295620051889
1995262314.968872,11.85801614400397
2238721138.56833,11.32362348423667
2511886431.50957,10.72515702746424
2818382931.264442,10.06258240748398
3162277660.168366,9.336803165545106
3548133892.335739,8.549312414806247
3981071705.534955,7.701788890219403
4466835921.509611,6.795693271719524
5011872336.2727,5.831917342621242
5623413251.903465,4.810524170917432
6309573444.801904,3.730603689329326
7079457843.841346,2.590253714256679
7943282347.242777,1.386688383149009
8912509381.337412,0.1164638231843275
10000000000,-1.224201335027321
