sp_NF_dB (Tdiff_R=-294.5) X,sp_NF_dB (Tdiff_R=-294.5) Y
4000000000,5.316620339728527
4100000000,4.922696765327047
4200000000,4.540677061661746
4300000000,4.172175174127367
4400000000,3.818379879582877
4500000000,3.4808573264766
4600000000,3.161246044069271
4700000000,2.86069049273441
4800000000,2.580672152618721
4900000000,2.322398537530699
5000000000,2.086382742683643
5100000000,1.873360565718814
5200000000,1.683355444909438
5300000000,1.516283579166804
5400000000,1.3717021502084
5500000000,1.2487791413706
5600000000,1.146277887801288
5700000000,1.062929497549297
5800000000,0.9972738873045763
5900000000,0.9475137230445458
6000000000,0.912135072206443
6100000000,0.8892225948216559
6200000000,0.8773167766547018
6300000000,0.874760284285768
6400000000,0.880033547362344
6500000000,0.8919387790465894
6600000000,0.9092461207180081
6700000000,0.930941225024897
6800000000,0.9562041960586555
6900000000,0.9843762096448516
7000000000,1.014884340778456
7100000000,1.047419604463294
7200000000,1.081711732000428
7300000000,1.117765338575665
7400000000,1.15561393047091
7500000000,1.195477166977318
7600000000,1.237631611236977
7700000000,1.282647446132211
7800000000,1.331161833132988
7900000000,1.383820283876241
8000000000,1.441413481526078
8100000000,1.504814448394289
8200000000,1.57486857309291
8300000000,1.652353023342019
8400000000,1.738484337856728
8500000000,1.834037154900818
8600000000,1.940067736545996
8700000000,2.057611067916531
8800000000,2.187386135438316
8900000000,2.330037785461667
9000000000,2.486284778940913
9100000000,2.656644219181298
9200000000,2.84118700045053
9300000000,3.040121861363169
9400000000,3.253320261277896
9500000000,3.480478574428151
9600000000,3.721117310732383
9700000000,3.974749737891514
9800000000,4.24064259850591
9900000000,4.517877695642589
10000000000,4.80541846977162
