noise figure X,noise figure Y
1000000,12.87800189577712
1258925.411794167,12.56274213833597
1584893.192461114,12.29493095058355
1995262.31496888,12.06978444021902
2511886.431509581,11.88225745728038
3162277.66016838,11.72733380960468
3981071.705534974,11.60024712530122
5011872.336272725,11.4966276910512
6309573.444801935,11.41258270267113
7943282.347242818,11.34472364939952
10000000,11.29015610523719
12589254.11794168,11.24644577870988
15848931.92461114,11.2115718801489
19952623.14968881,11.18387581525222
25118864.31509582,11.16201051284442
31622776.60168381,11.14489358129068
39810717.05534975,11.1316659771397
50118723.36272726,11.12165687502814
63095734.44801937,11.11435483018973
79432823.47242822,11.10938501369614
100000000.0000001,11.10649218518881
125892541.1794168,11.1055290841596
158489319.2461115,11.10645002581148
199526231.4968882,11.10930965714167
251188643.1509583,11.11426705355803
316227766.0168384,11.12159561929049
398107170.5534979,11.13169961006351
501187233.6272731,11.14513855118582
630957344.4801943,11.16266142036086
794328234.7242829,11.18525326918263
1000000000.000002,11.21419808607491
1258925411.794169,11.25116340482744
1584893192.461116,11.29831512213288
1995262314.968883,11.35847756414972
2511886431.509585,11.43537366012309
3162277660.168386,11.53406073732965
4000000000,11.66517718059987
