pnoise_Tn (fin1=7e+09) X,pnoise_Tn (fin1=7e+09) Y
100000000,118.4024239350289
125892541.1794167,117.0995994733271
158489319.2461114,115.294788970223
199526231.496888,112.9532854273258
251188643.1509581,110.1399648211777
316227766.016838,107.0870166095337
398107170.5534974,104.154111801486
501187233.6272725,101.7509902176972
630957344.4801935,100.2872567441628
794328234.7242819,100.1752921256051
1000000000.000001,101.8955879755847
1258925411.794168,106.3187912421334
1584893192.461115,116.0092638550303
2000000000,141.4930606675888
