pac_vo_diff_I_pcb_dB (fin1=7e+09) X,pac_vo_diff_I_pcb_dB (fin1=7e+09) Y
100000000,55.11225382992044
125892541.1794167,55.54036312368216
158489319.2461109,56.0400109171173
199526231.4968882,56.59989262813557
251188643.1509581,57.18364883623903
316227766.0168381,57.71562764488322
398107170.5534973,58.07260212917892
501187233.6272726,58.10338575460889
630957344.4801931,57.69903101010922
794328234.7242823,56.8795697818889
1000000000.000001,55.85984543193832
1258925411.794168,55.08387315376141
1584893192.461115,55.05641081336266
1995262314.968882,53.16263564877687
2511886431.509583,42.67068314619269
3162277660.168383,28.81928671573139
3981071705.534977,5.562187372680616
5011872336.272728,-17.75282315543734
6309573444.801939,-38.36908157898339
7943282347.242825,-57.60941455894093
10000000000.00001,-75.00078960911223
12589254117.94169,-78.57888479100396
15848931924.61115,-80.77657755881123
19952623149.68882,-88.03327517118268
25118864315.09584,-86.28073761734191
31622776601.68384,-94.03289891125647
39810717055.34978,-100.2164865009143
50118723362.72731,-106.9804900777354
63095734448.01944,-114.0415904436448
79432823472.42828,-122.0078943262477
100000000000,-131.8082956183984
